ts_code,symbol,name,enname,aliases
CCV.VN,CCV.VN,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,XD CN và đô thị Việt Nam,
CDC.VN,CDC.VN,Công ty Cổ phần Chương Dương,Chương Dương Corp,
CDG.VN,CDG.VN,Công ty Cổ phần Cầu Đuống,VLXD Cầu Đuống,
CDN.VN,CDN.VN,Công ty Cổ phần Cảng Đà Nẵng,Cảng Đà Nẵng,
CDO.VN,CDO.VN,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Tư vấn Thiết kế và PT Đô thị,
CDP.VN,CDP.VN,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm TW Codupha,
CDR.VN,CDR.VN,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng Cao su Đồng Nai,
CEN.VN,CEN.VN,Công ty Cổ phần CENCON Việt Nam,CENCON Việt Nam,
CEO.VN,CEO.VN,Công ty Cổ phần Tập đoàn C.E.O,Tập đoàn CEO,
CET.VN,CET.VN,Công ty Cổ phần HTC Holding,HTC Holding,
CFM.VN,CFM.VN,Công ty Cổ phần Đầu tư CFM,Đầu tư CFM,
CFV.VN,CFV.VN,Công ty Cổ phần Cà phê Thắng Lợi,Cà phê Thắng Lợi,
CGV.VN,CGV.VN,Công ty Cổ phần Vinaceglass,Vinaceglass JSC,
CH5.VN,CH5.VN,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng số 5 Hà Nội,
CHC.VN,CHC.VN,Công ty Cổ phần Cẩm Hà,Nội thất Cẩm Hà,
CHP.VN,CHP.VN,Công ty Cổ phần Thủy điện Miền Trung,Thủy điện Miền Trung,
CHS.VN,CHS.VN,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Chiếu sáng TPHCM,
CI5.VN,CI5.VN,Công ty Cổ phần Đầu tư Xây dựng số 5,Đầu tư Xây dựng số 5,
CIA.VN,CIA.VN,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,DV Sân Bay Cam Ranh,
CID.VN,CID.VN,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Phát triển Cơ sở Hạ tầng,
CIG.VN,CIG.VN,Công ty Cổ phần COMA 18,Xây dựng COMA 18,
CII.VN,CII.VN,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Hạ tầng Kỹ thuật TP.HCM,
CIP.VN,CIP.VN,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,XL và SX công nghiệp,
CJC.VN,CJC.VN,Công ty Cổ phần Cơ điện Miền Trung,Cơ điện Miền Trung,
CK8.VN,CK8.VN,Công ty Cổ phần Cơ khí 120,Cơ khí 120,
CKA.VN,CKA.VN,Công ty Cổ phần Cơ khí An Giang,Cơ khí An Giang,
CKD.VN,CKD.VN,Công ty Cổ phần Cơ khí Đông Anh Licogi,Đông Anh Licogi,
CKG.VN,CKG.VN,Công ty Cổ phần Tập đoàn CIC,Tập đoàn CIC,
CKV.VN,CKV.VN,Công ty Cổ phần CokyVina,CokyVina,
CLC.VN,CLC.VN,Công ty Cổ phần Cát Lợi,Thuốc lá Cát Lợi,
CLH.VN,CLH.VN,Công ty Cổ phần Xi măng La Hiên VVMI,Xi măng La Hiên,
CLI.VN,CLI.VN,Cổ phiếu Công ty cổ phần Tập đoàn CNCTech,Cổ phiếu Công ty cổ phần Tập đoàn CNCTech,
CLL.VN,CLL.VN,Công ty Cổ phần Cảng Cát Lái,Cảng Cát Lái,
CLM.VN,CLM.VN,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Xuất nhập khẩu Than - Vinacomin,
CLW.VN,CLW.VN,Công ty Cổ phần Cấp nước Chợ Lớn,Cấp nước Chợ Lớn,
CLX.VN,CLX.VN,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),XNK và ĐT Chợ Lớn (CHOLIMEX),
CMC.VN,CMC.VN,Công ty Cổ phần Đầu tư CMC,Đầu tư CMC,
CMD.VN,CMD.VN,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,VLXD và Nội thất TP.HCM,
CMF.VN,CMF.VN,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm Cholimex,
CMG.VN,CMG.VN,Công ty Cổ phần Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC,
CMI.VN,CMI.VN,Công ty Cổ phần CMISTONE Việt Nam,CMISTONE Việt Nam,
CMK.VN,CMK.VN,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Cơ khí Mạo Khê - Vinacomin,
CMM.VN,CMM.VN,Công ty Cổ phần Camimex,Camimex,
CMN.VN,CMN.VN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Colusa -  Miliket,
CMP.VN,CMP.VN,Công ty Cổ phần Cảng Chân Mây,Cảng Chân Mây,
CMS.VN,CMS.VN,Công ty Cổ phần Tập đoàn CMH Việt Nam,Tập đoàn CMH Việt Nam,
CMT.VN,CMT.VN,Công ty Cổ phần Công nghệ mạng và Truyền thông,CN mạng và Truyền thông,
CMV.VN,CMV.VN,Công ty Cổ phần Thương nghiệp Cà Mau,Thương nghiệp Cà Mau,
CMW.VN,CMW.VN,Công ty Cổ phần Cấp nước Cà Mau,Cấp nước Cà Mau,
CMX.VN,CMX.VN,Công ty Cổ phần CAMIMEX Group,CAMIMEX Group,
CNA.VN,CNA.VN,Công ty Cổ phần Tổng công ty Chè Nghệ An,Tổng công ty Chè Nghệ An - CTCP,
CNC.VN,CNC.VN,Công ty Cổ phần Công nghệ cao Traphaco,Công nghệ cao Traphaco,
CNG.VN,CNG.VN,Công ty Cổ phần CNG Việt Nam,CNG Việt Nam,
CNN.VN,CNN.VN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng Coninco,
CNT.VN,CNT.VN,Công ty Cổ phần Tập đoàn CNT,Tập đoàn CNT,
COM.VN,COM.VN,Công ty Cổ phần Vật tư - Xăng dầu,Vật tư - Xăng dầu,
CPA.VN,CPA.VN,Công ty Cổ phần Cà phê Phước An,Cà phê Phước An,
CPC.VN,CPC.VN,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Thuốc sát trùng Cần Thơ,
CPH.VN,CPH.VN,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,PV mai táng Hải Phòng,
CPI.VN,CPI.VN,Công ty Cổ phần Đầu tư Cảng Cái Lân,Đầu tư Cảng Cái Lân,
CQN.VN,CQN.VN,Công ty Cổ phần Cảng Quảng Ninh,Cảng Quảng Ninh,
CQT.VN,CQT.VN,Công ty Cổ phần Xi măng Quán Triều VVMI,Xi măng Quán Triều VVMI,
CRC.VN,CRC.VN,Công ty Cổ phần Create Capital Việt Nam,Create Capital Việt Nam,
CRE.VN,CRE.VN,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản Thế Kỷ,
CRV.VN,CRV.VN,Công ty Cổ phần Tập đoàn Bất động sản CRV,Tập đoàn Bất động sản CRV,
CSC.VN,CSC.VN,Công ty Cổ phần Tập đoàn COTANA,Tập đoàn COTANA,
